run_seed,model,split,kind,n_steps,pull,write_k
1211904294,qlstm,test,event,2140,0.0401914475398643,0.13648464149418496
1211904294,qlstm,test,near_best_distractor,4299,0.02413837478920093,0.10229843697540823
1211904294,qlstm,test,other_distractor,22561,0.02826531774122386,0.11338158424171539
1211904294,qslstm,extrapolation,event,669,0.04713644330098846,0.15778315355060324
1211904294,qslstm,extrapolation,near_best_distractor,2290,0.012571399219692013,0.05759725354571046
1211904294,qslstm,extrapolation,other_distractor,12291,0.015277086958603149,0.06091962082780348
1211904294,qslstm,test,event,2140,0.05738050904229423,0.192514361439562
1211904294,qslstm,test,near_best_distractor,4299,0.021607461399077037,0.09493538439633116
1211904294,qslstm,test,other_distractor,22561,0.02189630188632744,0.08694459207509013
1212609727,qlstm,extrapolation,event,694,0.03591787484434221,0.11943353226812621
1212609727,qlstm,extrapolation,near_best_distractor,2238,0.023599410744199165,0.09877593656755701
1212609727,qlstm,extrapolation,other_distractor,12318,0.02909505114450453,0.11516745910801528
1212609727,qlstm,test,event,2063,0.03729321740809657,0.1229181629973311
1212609727,qlstm,test,near_best_distractor,4313,0.02562813119133194,0.10587522896992897
1212609727,qlstm,test,other_distractor,22624,0.029752853363383524,0.11823514866548003
1212609727,qslstm,extrapolation,event,694,0.04853016165452835,0.16302755934174887
1212609727,qslstm,extrapolation,near_best_distractor,2238,0.014748432774219906,0.06507308037158578
1212609727,qslstm,extrapolation,other_distractor,12318,0.01795130017053086,0.07223859019864803
1212609727,qslstm,test,event,2063,0.05709187115099727,0.1883459893593588
1212609727,qslstm,test,near_best_distractor,4313,0.021349242880833334,0.09243830613813496
1212609727,qslstm,test,other_distractor,22624,0.02456517258324414,0.09900050610508176
1668868548,qlstm,extrapolation,event,706,0.03814857497431402,0.1263436095178652
1668868548,qlstm,extrapolation,near_best_distractor,2259,0.024259010911146166,0.10259079833394666
1668868548,qlstm,extrapolation,other_distractor,12285,0.030727563379351376,0.12103232306978115
1668868548,qlstm,test,event,2142,0.038144186556506234,0.1290266043381721
1668868548,qlstm,test,near_best_distractor,4254,0.025874422359589852,0.10787875375497016
1668868548,qlstm,test,other_distractor,22604,0.030713626735507017,0.1219668720043338
1668868548,qslstm,extrapolation,event,706,0.04164010052049464,0.13868555882932343
1668868548,qslstm,extrapolation,near_best_distractor,2259,0.01004705528286296,0.044431452559266976
1668868548,qslstm,extrapolation,other_distractor,12285,0.012952600875592689,0.051738446406279566
1668868548,qslstm,test,event,2142,0.05089019122772635,0.16974788325090387
1668868548,qslstm,test,near_best_distractor,4254,0.01809416409734274,0.07820170942332831
1668868548,qslstm,test,other_distractor,22604,0.020355839597055014,0.0812563322902242
1710807515,qlstm,extrapolation,event,670,0.03299912014114324,0.1096735369876645
1710807515,qlstm,extrapolation,near_best_distractor,2270,0.020093683996914767,0.08735284020078414
